delivery_price,delivery_rating,name,no_of_review,price,rating,seller,seller_rating,stock
70.0,88.0,Chana 1kg Best Quality,14.0,220.0,5.0,Subha Abik Store,87.0,15.0
70.0,0.0,Chickpeas Satu(Chana Satu)-500g,4.0,140.0,5.0,Nepali mato khadyanna pvt. ltd.,97.0,5.0
70.0,93.0,Chick Peas Split ( Chana Daal) 1 Kg,2.0,238.0,5.0,GaunGhar Organic Store,91.0,13.0
70.0,100.0,Agraj ko Bhuteko Chana -1000 GM,29.0,380.0,5.0,Arosi Enterprises,89.0,15.0
120.0,100.0,Fried Chik Peas - 500Gm Bhuteko Chana,5.0,180.0,5.0,Garima general Store,85.0,15.0
70.0,100.0,Khairo Chana 500 Gm,4.0,120.0,0.0,Raunak Masala And Foods,95.0,8.0
70.0,100.0,Chana Ko Satu 500gm,1.0,200.0,0.0,New Avisekh Store,80.0,3.0
120.0,100.0,Fine Chana Masala 50Grm,4.0,55.0,0.0,Asian Trading,82.0,15.0
70.0,0.0,Poshak Chana Satu With Almonds 400 Grams,8.0,175.0,4.0,Triratna Foods,97.0,15.0
70.0,100.0,Bhuteko Chana -500 GM,2.0,180.0,0.0,Arosi Enterprises,89.0,15.0
125.0,100.0,Bhuteko Chana -2 KG,2.0,650.0,0.0,Agraj Foods Pvt.Ltd.,89.0,15.0
70.0,0.0,Hira Foods Chana 300g,1.0,110.0,5.0,Hira food production,94.0,15.0
70.0,0.0,Chwassa Dry Chana 500 Gm,1.0,160.0,5.0,Chwassa food product,89.0,15.0
155.0,100.0,Anoop Pure Chana Sattu - 500Gm - Pack Of 3,1.0,480.0,5.0,Garima general Store,85.0,15.0
120.0,98.0,Chana Sattu 500g,1.0,220.0,5.0,Healthy Ghar Nepal,80.0,15.0
155.0,98.0,Patanjali Chana Sattu 500grm Pack of 2pc,1.0,474.0,4.5,Healthy Ghar Nepal,80.0,15.0
70.0,100.0,Roasted Chana 1000 GM,1.0,325.0,4.5,Agraj Foods Pvt.Ltd.,89.0,15.0
70.0,0.0,Poshak Chana Satu With Almonds 800 Grams (400gm 2 Packets),1.0,345.0,4.5,Triratna Foods,97.0,15.0
70.0,0.0,Chwassa Dry Chana 150 Gm,1.0,60.0,4.5,Chwassa food product,89.0,15.0
70.0,0.0,Poshak Chana Satu  800 Grams (400gm 2 Packets),5.0,315.0,5.0,Triratna Foods,97.0,15.0
70.0,0.0,Chwassa Dry Chana 300 Gm,2.0,120.0,5.0,Chwassa food product,89.0,15.0
70.0,100.0,"Ashirwad Chana Besan Flour, 500g",1.0,135.0,5.0,Gyan Nepal,96.0,4.0
120.0,98.0,Patanjali Chana Sattu 500grm,1.0,247.0,4.1,Healthy Ghar Nepal,80.0,15.0
70.0,0.0,Chwassa Dry Chana 55 Gm,2.0,30.0,4.1,Chwassa food product,89.0,15.0
70.0,0.0,Hira Foods Chana 500g,17.0,160.0,4.5,Hira food production,94.0,15.0
70.0,88.0,Mato Kabuli chana 1kg,1.0,265.0,4.5,MATO NEPAL,95.0,15.0
70.0,100.0,Gyan Chana Sattu 1/2 Kg Pkt,2.0,175.0,4.5,Gyan Nepal,96.0,11.0
70.0,0.0,Chana Sattu - 500 Gm,4.0,160.0,4.5,Healthy and Tasty Food,91.0,11.0
70.0,0.0,Chana Sattu,3.0,160.0,0.0,Healthy and Tasty Food,91.0,15.0
70.0,88.0,Mato Red Chana 1 KG,5.0,195.0,0.0,MATO NEPAL,95.0,15.0
70.0,88.0,Chana Daal Best Quality- 1 Kg,2.0,220.0,0.0,Subha Abik Store,87.0,15.0
70.0,100.0,Fried Chik Pea 800gm  Chana,46.0,300.0,0.0,Reuel brothers and sons traders pvt ltd,89.0,15.0
70.0,93.0,Besan ( Chana Besan ) 500 Gm,10.0,150.0,0.0,GaunGhar Organic Store,91.0,9.0
70.0,88.0,Mato Chana Dal 1 KG,6.0,220.0,0.0,MATO NEPAL,95.0,15.0
70.0,88.0,Chana Daal - 1 Kg,5.0,230.0,0.0,Subha Abik Store,87.0,15.0
70.0,0.0,Hilife Chana Dal Flour Besan 500GM | 12-in-1 Power Breakfast | Nepal’s No. 1 Besan | Besan | Chickpea flour | Gram flour | Chana Dal | Pulse flour,1.0,124.0,0.0, Hilife Foods,0.0,15.0
120.0,78.0,Kauli Chana-1 kg,4.0,260.0,5.0,Reja All Pasal,87.0,10.0
70.0,100.0,Khairo Chana 1 kg,3.0,230.0,4.1,Raunak Masala And Foods,95.0,10.0
155.0,100.0,Fried Chik Peas - 2kg Bhuteko Chana,2.0,600.0,4.9,Garima general Store,85.0,15.0
70.0,99.0,SHOP WHOLLY Roasted ChickPea (Bhuteko Chana) 1kg,14.0,350.0,4.9,Shop Wholly Network,89.0,15.0
70.0,93.0,Kabuli Chana ( White Chickpea) 1 Kg,7.0,290.0,4.9,GaunGhar Organic Store,91.0,9.0
70.0,93.0,Chick Peas ( Chana Geda) 1 Kg,19.0,208.0,4.9,GaunGhar Organic Store,91.0,8.0
70.0,99.0,SHOP WHOLLY Roasted ChickPea (Bhuteko Chana) 250gm,15.0,95.0,4.9,Shop Wholly Network,89.0,14.0
70.0,100.0,Agraj ko Roasted Chana -500 GM,65.0,180.0,4.9,Arosi Enterprises,89.0,15.0
120.0,100.0,Fried Chik Peas -1kg Bhuteko Chana,27.0,300.0,4.9,Garima general Store,85.0,15.0
70.0,99.0,SHOP WHOLLY Roasted ChickPea (Bhuteko Chana) 500gm,20.0,185.0,4.9,Shop Wholly Network,89.0,15.0
70.0,100.0,Bhuteko Chana -500 GM,37.0,200.0,4.9,Agraj Foods Pvt.Ltd.,89.0,15.0
