delivery_price,delivery_rating,name,no_of_review,price,rating,seller,seller_rating,stock
50.0,100.0,Tws Wireless Bluetooth Airbuds Charging Case Super Sound,50.0,50.0,0.0,Dashain Dhamaka,86.0,1.0
130.0,97.0,Combo of Gaming Mouse and Keyboard - T-WOLF T20 RGB LED Backlight USB Mechanical Gaming Keyboard With Multimedia Keys Support,130.0,130.0,0.0,Best Authorise,85.0,6.0
53.0,100.0,Maha Shree Dhan Laxmi Kuber Bhandari Yantra Generate A Source Of Income For You Decorative Showpiece - 20 Cm,53.0,53.0,0.0,ShopHill,85.0,15.0
102.0,100.0,"Viral Silvertek - 3000W Multiplug with C-Type Port, 3 USB Port & 6 charging port | Hot & Trendy item | Hot selling",102.0,102.0,0.0,Crazy NepDeals,91.0,15.0
25.0,98.0,Artificial Vagina Masturbator Sex Toys For Men,25.0,25.0,0.0,Sasto Bazar.,77.0,3.0
763.0,98.0,"Storage Box Foldable Clothing Storage Bag for Clothes, Blanket, Comforter, Under Bed Storage - Storage Bags",763.0,763.0,0.0,PlyBuy,80.0,14.0
43.0,100.0,Desktop Mobile Phone Holder Mount Stand Flexible Foldable Portable | Foldable Mobile Stand Table top Stand Adjustable Phone Holder,43.0,43.0,0.0,All In  One,0.0,7.0
47.0,100.0,Pal Pal Jaiphal Oil TM Regd.Original Pain Relief and Refreshment Massage Oil 200 ml,47.0,47.0,0.0,Dashain Dhamaka,86.0,15.0
357.0,100.0,"Mantra Avatar Semi Acoustic Guitar - 3 Band Equalizer and Tuner With Free Padded Bag, Capo, Strap, String and Picks",357.0,357.0,4.8,Mantra,89.0,12.0
23.0,98.0,Flysky Fs-I6 Remote For Quadcopter,23.0,23.0,4.8,Supreme Light Technology,88.0,1.0
1.0,100.0,Fashion Belt For Ladies - Multicolor | Free Size | Fashion | Belts For Women | Women's Wear | Fashion Belts |,1.0,1.0,4.8,Megha Market ,90.0,15.0
509.0,78.0,Home Wall Decoration Beautiful Diamond Shelf Rack In Black - Multi-layered Wall Mount Design Shelf Rack 3pc,509.0,509.0,4.8,Komal International,86.0,5.0
14.0,97.0,Microfiber Squeeze Mop for Floor Cleaning Hand-Free Wash Self Wringing Flat Mop,14.0,14.0,4.8,Aafno Pasal,79.0,15.0
34.0,97.0,Leather Side Bag Business Cross-body Messenger Bag For Men - Black | Fashion Leather Cross Body Bag For Men,34.0,34.0,4.8,ALLSANGAMTAILORS,88.0,15.0
24.0,100.0,Hibiscus Tea - Nepal Tea Exchange - 15g,24.0,24.0,4.8,Nepal Tea Exchange,93.0,15.0
10.0,85.0,Csn York 30kg Steel Dumbbell Set Adjustable (2 in 1) 30 Cm Connector,10.0,10.0,0.0,cybershop nepal (csn),95.0,1.0
4.0,88.0,Dr. Sheth's Extra Gentle Peel 30ml,4.0,4.0,4.5,Dr Sheth's,90.0,1.0
12.0,85.0,Cold Weather Cotton Lined Warm Men's Thermal Set,12.0,12.0,4.5,skr store,73.0,15.0
